aapl	320193
msft	789019
amzn	1018724
goog	1652044
fb	1326801
tcehy	1293451
tsla	1318605
baba	1577552
brk-a	1067983
tsm	1046179
jpm	19617
v	1403161
jnj	200406
wmt	104169
spy	884394
ma	1141391
unh	731766
lvmuy	824046
dis	1744489
bac	70858
pg	80424
hd	354950
nvda	1045810
idcby	1445468
pypl	1633917
intc	50863
asml	937966
cmcsa	1166691
vz	732712
xom	34088
nflx	1065280
adbe	796343
ko	21344
csco	858877
tm	1094517
t	732717
cichy	1445474
abt	1800
nke	320187
orcl	1341439
pfe	78003
cvx	93410
orcl	1341439
shw	89800
cihky	1495688
pep	77476
crm	1108524
mrk	310158
nvs	1114448
abbv	1551152
avgo	1730168
tmo	97745
lly	59478
acgby	1501437
acn	1467373
txn	97476
bhp	811809
pdd	1737806
mcd	63908
wfc	72971
dhr	313616
mdt	1613103
nvo	353278
cost	909832
tmus	1283699
rds-a	1306965
lfc	1268896
c	831001
hon	773840
sftby	1065521
nee	753308
qcom	804328
ups	1090727
ba	12927
unp	100885
ul	217410
lin	1707925
ms	895421
bbl	1171264
sap	1000184
amgn	318154
bmy	14272
bachy	1378999
pm	1413329
low	60667
rtntf	887028
shop	1594805
chtr	1091667
ry	1000275
azn	901832
sne	313838
jd	1549802
sbux	829224
cat	18230
qqq	1067839
bud	1668717
rio	863064
sny	1121404
schw	316709
se	1703399
amat	6951
tot	879764
hsbc	1089113
ibm	51143
td	947263
de	315189
rtx	101829
hesay	1436949
ge	40545
blk	1364742
abnb	1559720
axp	4962
ptr	1108329
hdb	1144967
mmm	66740
gs	886982
chl	1117795
chdry	1450488
amt	1053507
el	1001250
intu	896878
lmt	936468
sq	1512673
uber	1543151
tgt	27419
now	1373715
mu	723125
cvs	64803
dmlry	1067318
deo	835403
bkng	1075531
amd	2488
mo	764180
zm	1585521
syk	310764
lrcx	707549
vale	917851
eadsy	1378580
gsk	1131399
isrg	1035267
antm	1156039
bti	1303523
fis	1136893
ppruy	1445465
spgi	64040
cpng	1834584
sbgsy	923734
ci	1739940
mdlz	1103982
usb	36104
gm	1467858
cni	16868
bp	313807
frcoy	1446595
snap	1564408
gild	882095
adp	8670
fisv	798354
pstvy	1689565
tjx	109198
infy	1067491
cta-pa	30554
pld	1045609
tfc	92230
aiquy	1161167
snp	1123658
bns	9631
fdx	1048911
zts	1555280
hkxcy	1445476
pnc	713676
cci	1051470
duk	1326160
atvi	718877
cme	1156375
enb	895728
meli	1099590
csx	277948
bidu	1329099
cop	1163165
njdcy	1158967
esloy	1085922
cb	896159
kddiy	1106215
atlcy	748954
bdx	10795
shecy	1442651
itw	49826
mufg	67088
ntes	1110646
toely	1443276
dnngy	1679771
nsc	702165
chgcy	1453934
byddy	1445162
beke	1809587
dell	1571996
wbk	719245
cl	21665
bam	1001085
so	92122
rbgly	1420798
hca	860730
eqnr	1140625
vmw	1124610
ice	1571949
mmc	62709
apd	2969
adsk	769397
nio	1736541
gpn	1123360
ecl	31462
d	715957
abb	1091587
eqix	1101239
wday	1327811
dkily	1446519
adi	6281
san	891478
cof	927628
twlo	1447669
safry	1364012
vcisy	1065198
bmo	927971
csuay	1445470
tak	1395064
ilmn	1110803
pgr	80661
mco	1059556
etn	1551182
nxpi	1413447
stla	1605484
vrtx	875320
puk	1116578
ibn	1103838
